ros_time_s,exec_index,target_index,buffer_lead,latency_ms,compute_ms,path_length,ik_counts,base_dx,base_dy,base_dz,base_disp_m,success
1773655017.885056,75,77,2,2.657,2.561,7.403202,8;8,-0.025336,-0.000043,0.000000,0.025336,1
1773655017.889664,76,78,2,2.482,2.383,4.937181,8;8,-0.025336,-0.000043,0.000000,0.025336,1
1773655017.906950,77,79,2,2.821,2.677,5.606927,8;8,-0.025347,-0.000043,0.000000,0.025347,1
1773655018.200535,78,80,2,2.599,2.502,4.933574,8;8,-0.025713,-0.000044,0.000000,0.025713,1
1773655018.576847,79,81,2,2.732,2.639,7.432414,8;8,-0.026079,-0.000044,0.000000,0.026079,1
1773655018.952672,80,82,2,2.661,2.573,4.930704,8;8,-0.026402,-0.000045,0.000000,0.026402,1
1773655019.378724,81,83,2,2.477,2.386,4.931226,8;8,-0.026675,-0.000045,0.000000,0.026675,1
1773655019.785333,82,84,2,3.007,2.903,7.569937,8;8,-0.027254,-0.000046,0.000000,0.027254,1
1773655020.212516,83,85,2,2.640,2.547,4.934014,8;8,-0.027548,-0.000047,0.000000,0.027548,1
1773655020.628940,84,86,2,2.822,2.718,4.935848,8;8,-0.028149,-0.000048,0.000000,0.028149,1
1773655021.048959,85,87,2,2.833,2.710,9.250517,8;8,-0.028395,-0.000048,0.000000,0.028396,1
1773655021.469788,86,88,2,3.535,3.422,4.940261,8;8,-0.028756,-0.000049,0.000000,0.028756,1
1773655021.840499,87,89,2,2.667,2.551,4.972879,8;8,-0.029264,-0.000050,0.000000,0.029264,1
1773655022.312299,88,90,2,3.484,3.360,4.945490,8;8,-0.029506,-0.000050,0.000000,0.029506,1
1773655022.684960,89,91,2,3.114,3.010,6.418676,8;8,-0.030152,-0.000051,0.000000,0.030152,1
1773655023.158037,90,92,2,3.993,3.700,4.951164,8;8,-0.030387,-0.000052,0.000000,0.030387,1
1773655023.542804,91,93,2,2.771,2.668,4.961769,8;8,-0.030910,-0.000053,0.000000,0.030910,1
1773655024.006842,92,94,2,2.865,2.724,4.967407,8;8,-0.031297,-0.000053,0.000000,0.031297,1
1773655024.308627,93,95,2,2.657,2.560,4.949696,8;8,-0.031604,-0.000054,0.000000,0.031604,1
1773655024.709514,94,96,2,3.400,3.286,4.935877,8;8,-0.032108,-0.000055,0.000000,0.032108,1
1773655025.080588,95,97,2,2.839,2.748,4.877470,8;8,-0.032289,-0.000055,0.000000,0.032289,1
1773655025.084821,96,98,2,2.753,2.619,4.838061,8;8,-0.032289,-0.000055,0.000000,0.032289,1
1773655025.096927,97,99,2,3.183,3.084,6.216390,8;8,-0.032302,-0.000055,0.000000,0.032302,1
1773655025.342602,98,100,2,2.815,2.709,7.327714,8;8,-0.032781,-0.000056,0.000000,0.032781,1
1773655025.750753,99,101,2,2.710,2.597,6.225318,8;8,-0.033077,-0.000056,0.000000,0.033077,1
1773655025.756263,100,102,2,3.754,3.606,7.360813,8;8,-0.033077,-0.000056,0.000000,0.033077,1
1773655026.370671,101,103,2,2.676,2.583,4.834247,8;8,-0.033909,-0.000058,0.000000,0.033909,1
1773655026.756840,102,104,2,2.631,2.518,4.863947,8;8,-0.034057,-0.000058,0.000000,0.034057,1
1773655027.224313,103,105,2,2.637,2.486,7.362076,8;8,-0.034516,-0.000059,0.000000,0.034516,1
1773655027.619490,104,106,2,2.644,2.547,4.867962,8;8,-0.034917,-0.000059,0.000000,0.034917,1
1773655028.048941,105,107,2,3.036,2.932,9.120120,8;8,-0.035196,-0.000060,0.000000,0.035196,1
1773655028.476269,106,108,2,2.558,2.462,4.871284,8;8,-0.035871,-0.000061,0.000000,0.035871,1
1773655028.944400,107,109,2,2.657,2.558,4.867411,8;8,-0.036056,-0.000061,0.000000,0.036056,1
1773655029.333068,108,110,2,3.336,3.224,7.463205,8;8,-0.036615,-0.000062,0.000000,0.036615,1
1773655029.798950,109,111,2,3.310,3.211,4.863266,8;8,-0.036969,-0.000063,0.000000,0.036969,1
1773655030.194386,110,112,2,2.628,2.530,4.875700,8;8,-0.037275,-0.000063,0.000000,0.037275,1
1773655030.648861,111,113,2,3.041,2.939,5.470502,8;8,-0.037851,-0.000064,0.000000,0.037851,1
1773655031.042235,112,114,2,2.623,2.521,4.870518,8;8,-0.038076,-0.000065,0.000000,0.038076,1
1773655031.046534,113,115,2,2.874,2.756,4.871023,8;8,-0.038076,-0.000065,0.000000,0.038076,1
1773655031.640360,114,116,2,2.774,2.667,7.390177,8;8,-0.038904,-0.000066,0.000000,0.038904,1
1773655032.028899,115,117,2,3.030,2.927,4.884135,8;8,-0.039112,-0.000066,0.000000,0.039112,1
1773655032.414290,116,118,2,2.752,2.653,7.448446,8;8,-0.039499,-0.000067,0.000000,0.039499,1
1773655032.419676,117,119,2,2.809,2.699,4.933015,8;8,-0.039499,-0.000067,0.000000,0.039499,1
1773655032.430438,118,120,2,2.620,2.526,4.932432,8;8,-0.039505,-0.000067,0.000000,0.039505,1
1773655032.698359,119,121,2,2.732,2.635,4.932446,8;8,-0.039777,-0.000068,0.000000,0.039778,1
1773655033.090646,120,122,2,2.720,2.615,4.934784,8;8,-0.040241,-0.000068,0.000000,0.040241,1
1773655033.486831,121,123,2,2.908,2.781,7.396360,8;8,-0.040573,-0.000069,0.000000,0.040573,1
1773655033.494623,122,124,2,3.857,3.581,4.926323,8;8,-0.040583,-0.000069,0.000000,0.040584,1
1773655033.994780,123,125,2,3.139,3.025,4.926892,8;8,-0.041244,-0.000070,0.000000,0.041244,1
1773655034.420125,124,126,2,2.523,2.432,7.480431,8;8,-0.041540,-0.000071,0.000000,0.041540,1
1773655034.856769,125,127,2,3.092,2.984,7.500998,8;8,-0.041704,-0.000071,0.000000,0.041704,1
1773655035.302554,126,128,2,3.007,2.896,9.142041,8;8,-0.042342,-0.000072,0.000000,0.042342,1
1773655035.739463,127,129,2,2.701,2.600,9.141196,8;8,-0.042663,-0.000072,0.000000,0.042663,1
1773655036.135125,128,130,2,3.513,3.392,4.927330,8;8,-0.043285,-0.000074,0.000000,0.043285,1
1773655036.572520,129,131,2,2.851,2.697,4.926406,8;8,-0.043528,-0.000074,0.000000,0.043528,1
1773655037.012750,130,132,2,2.918,2.813,4.925708,8;8,-0.044052,-0.000075,0.000000,0.044052,1
1773655037.450762,131,133,2,2.724,2.609,7.101615,8;8,-0.044421,-0.000075,0.000000,0.044421,1
